Date,Range_W_F1,Range_W_F2,Range_C_F1,Range_C_F2,Range_O_F1,Range_O_F2
08-10-1877,0.023788862,NaN,0.00471699,NaN,0.004282662,NaN
09-10-1877,0.021858794,NaN,0.021102776,NaN,0.004282662,NaN
10-10-1877,0.019418086,NaN,0.007067167,NaN,NaN,NaN
11-10-1877,0.011215071,NaN,0.004705891,NaN,0.004282662,0.012578782
12-10-1877,0.008329525,NaN,0.016374635,NaN,0.004282662,0.012578782
13-10-1877,0.009345862,NaN,0.00471699,NaN,0.004301082,0.004228336
15-10-1877,0.016965534,NaN,0.007083855,NaN,0.004319661,NaN
16-10-1877,0.010401985,0.001885015,0.004739345,NaN,NaN,NaN
17-10-1877,0.009434032,NaN,0.004728141,NaN,NaN,NaN
18-10-1877,0.011450507,NaN,0.004728141,NaN,0.004319661,NaN
19-10-1877,0.016121734,0.00188324,0.004694844,NaN,0.004282662,0.004228336
20-10-1877,0.009442941,0.004719216,0.018562018,NaN,0.008474627,0.012578782
22-10-1877,0.008591938,0.008591938,0.006888661,NaN,0.004264399,0.004228336
23-10-1877,0.007561473,0.009451866,0.015891367,NaN,0.004282662,0.016807118
24-10-1877,0.012375217,0.012375217,0.018265348,NaN,NaN,0.012578782
25-10-1877,0.012458235,0.010561788,0.006888661,NaN,0.004282662,0.004228336
26-10-1877,0.008608375,0.010582109,0.004597709,NaN,0.004228336,0.016807118
27-10-1877,0.009615459,0.005808342,0.006904515,NaN,0.004228336,0.012578782
29-10-1877,0.007699749,0.003868477,0.013698844,NaN,0.004246291,0.012578782
30-10-1877,0.007684956,0.006799443,0.004587164,NaN,NaN,0.004228336
31-10-1877,0.007619084,0.006753523,0.009216655,NaN,0.004264399,NaN
01-11-1877,0.006740517,NaN,0.002424244,NaN,0.012578782,0.004140793
02-11-1877,0.014458083,NaN,NaN,NaN,NaN,NaN
03-11-1877,0.006792845,NaN,NaN,0.005115101,NaN,NaN
05-11-1877,0.00672756,NaN,NaN,NaN,0.00415801,NaN
07-11-1877,0.004791576,NaN,0.002436055,NaN,NaN,0.004123717
08-11-1877,0.006734032,NaN,0.004830927,NaN,NaN,NaN
09-11-1877,0.004791576,NaN,NaN,0.007472015,NaN,NaN
10-11-1877,0.006682602,0.000948317,0.00240674,0.002490661,NaN,NaN
12-11-1877,0.016106459,NaN,0.004819286,NaN,0.004106782,0.008163311
13-11-1877,0.00747667,0.001850139,0.014320054,0.004962789,0.004073325,NaN
14-11-1877,0.009363364,0.010199439,0.011976191,0.00249688,0.020202707,0.020040751
15-11-1877,0.009363364,0.01022789,0.002378122,0.002484473,0.024097552,0.00790518
16-11-1877,0.003766483,0.004679466,0.011947573,0.011947573,0.003992021,0.00796817
17-11-1877,0.004728141,0.000939408,0.004750603,NaN,0.012072581,NaN
19-11-1877,0.006582064,0.00467509,0.004728141,0.004938282,0.016064603,0.003960401
20-11-1877,0.010275663,0.009267907,0.009434032,0.007416598,0.003992021,0.003976148
21-11-1877,0.004653336,0.006478505,0.00464038,0.012210164,0.003976148,0.003960401
22-11-1877,0.008415197,0.004653336,0.014051753,0.009804,0.003976148,NaN
23-11-1877,0.009337136,0.008344972,0.009345862,0.007290433,NaN,NaN
24-11-1877,0.011152532,0.010171146,0.011668744,0.002436055,0.00793655,0.003944778
26-11-1877,0.016468808,0.012739026,0.016036999,NaN,0.003944778,0.003913899
27-11-1877,0.011943183,0.011888572,0.004629638,0.004830927,0.00793655,0.00790518
28-11-1877,0.005591813,0.00555557,0.009411834,0.012210164,0.016129382,0.016064603
30-11-1877,0.006582064,0.012110069,0.009411834,0.01467019,NaN,0.004073325
01-12-1877,0.009267907,NaN,0.012240055,NaN,0.016129382,NaN
03-12-1877,0.011152532,NaN,0.004938282,NaN,0.008163311,NaN
04-12-1877,0.007400589,NaN,0.00486619,NaN,0.004056801,0.003976148
05-12-1877,0.007400589,NaN,0.007290433,NaN,0.012072581,NaN
06-12-1877,0.008275909,0.006378154,0.019231362,0.014388737,0.016064603,0.011881328
07-12-1877,0.009124151,0.009041653,0.011947573,NaN,NaN,NaN
08-12-1877,0.007233305,0.009861129,0.007083855,NaN,NaN,NaN
10-12-1877,0.009017194,0.007162072,0.007100622,NaN,0.003976148,NaN
11-12-1877,0.010041161,0.011748892,0.014320054,0.014354313,0.003976148,0.003944778
12-12-1877,0.013844245,0.005509656,0.011976191,0.014493007,0.003992021,NaN
13-12-1877,0.011049836,0.014612132,0.014320054,0.014354313,NaN,NaN
14-12-1877,0.004610428,0.004568304,0.004739345,0.009546612,0.012220111,0.012072581
15-12-1877,0.004653336,0.003676475,0.014354313,0.004819286,0.004106782,NaN
17-12-1877,0.008430963,0.007428075,0.011976191,0.004830927,0.004106782,0.004073325
18-12-1877,0.008407336,0.007400589,0.009546612,0.002412546,NaN,NaN
19-12-1877,0.005519793,0.005469476,0.004728141,0.009546612,NaN,NaN
20-12-1877,0.010105736,0.009107531,0.007067167,0.011919092,NaN,NaN
21-12-1877,0.008260717,0.009107531,0.004694844,0.00237248,NaN,NaN
22-12-1877,0.004572482,0.004531045,0.01169604,0.004739345,NaN,NaN
26-12-1877,0.009049836,0.005386009,0.006936444,0.009434032,NaN,0.003976148
27-12-1877,0.008141158,0.00896867,0.006952519,0.004739345,NaN,0.003976148
28-12-1877,0.015433806,0.016201975,0.014051753,0.002378122,0.004073325,NaN
29-12-1877,0.011029524,0.009124151,0.007100622,0.009546612,0.004089985,NaN
